LambLife starting: 50x50 grid, seed=2, ticks=10000
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=239692.4 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=273686.4 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=115471.0 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=296688.4 center=(20,24)
  #8: hash=2c0252c55f91c01e pop=39 avg_energy=138435.2 center=(24,17)
  #9: hash=0a481eb844d7ae83 pop=37 avg_energy=158897.0 center=(27,25)
  #10: hash=c8ebdfc8786d6db9 pop=27 avg_energy=262440.4 center=(26,25)
tick=7000 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=228657.6/3636928.4 size=11.4/499 age=6996.9/7000 gen=4
tick=7100 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=231938.2/3691391.6 size=11.4/499 age=7096.9/7100 gen=4
tick=7200 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=235218.0/3736739.0 size=11.4/499 age=7196.9/7200 gen=4
tick=7300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=238455.2/3784617.0 size=11.4/499 age=7296.9/7300 gen=4
tick=7400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=241735.8/3823813.2 size=11.4/499 age=7396.9/7400 gen=4
tick=7500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=244992.2/3876029.3 size=11.4/499 age=7496.9/7500 gen=4
tick=7600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=248248.7/3932684.9 size=11.4/499 age=7596.9/7600 gen=4
